Date/Time,Year,Month,Day,Data Quality,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Mean Temp,Mean Temp Flag,Heat Deg Days,Heat Deg Days Flag,Cool Deg Days,Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm)
03-01-01,2003,1,1,,6.8,,5,,5.9,,12.1,,0,,21.6,,0,,21.6
03-01-02,2003,1,2,,11.7,,5.9,,8.8,,9.2,,0,,23.4,,0,,23.4
03-01-03,2003,1,3,,11.3,,6.3,,8.8,,9.2,,0,,2.8,,0,,2.8
03-01-04,2003,1,4,,13,,5.5,,9.3,,8.7,,0,,13.9,,0,,13.9
03-01-05,2003,1,5,,10.8,,3.3,,7.1,,10.9,,0,,0,,0,,0
03-01-06,2003,1,6,,9.9,,-0.2,,4.9,,13.1,,0,,0,,0,,0
03-01-07,2003,1,7,,10.9,,6.2,,8.6,,9.4,,0,,0,,0,,0
03-01-08,2003,1,8,,7.7,,3.1,,5.4,,12.6,,0,,0,,0,,0
03-01-09,2003,1,9,,7.7,,-0.7,,3.5,,14.5,,0,,0,,0,,0
03-01-10,2003,1,10,,5.8,,-2.9,,1.5,,16.5,,0,,0,,0,,0
03-01-11,2003,1,11,,6.7,,-1.8,,2.5,,15.5,,0,,5.8,,0,,5.8
03-01-12,2003,1,12,,7.4,,5.4,,6.4,,11.6,,0,,2.6,,0,,2.6
03-01-13,2003,1,13,,8.5,,3.5,,6,,12,,0,,2.8,,0,,2.8
03-01-14,2003,1,14,,9.6,,1.6,,5.6,,12.4,,0,,0,T,0,,0
03-01-15,2003,1,15,,6.2,,1.5,,3.9,,14.1,,0,,0,,0,,0
03-01-16,2003,1,16,,7.5,,1.9,,4.7,,13.3,,0,,0,,0,,0
03-01-17,2003,1,17,,7.7,,0,,3.9,,14.1,,0,,0,,0,,0
03-01-18,2003,1,18,,4.5,,-2.1,,1.2,,16.8,,0,,0,,0,,0
03-01-19,2003,1,19,,6.9,,1,,4,,14,,0,,3.4,,0,,3.4
03-01-20,2003,1,20,,8.3,,3.6,,6,,12,,0,,0.2,,0,,0.2
03-01-21,2003,1,21,,7.2,,2.9,,5.1,,12.9,,0,,1.8,,0,,1.8
03-01-22,2003,1,22,,8,,4,,6,,12,,0,,21.8,,0,,21.8
03-01-23,2003,1,23,,13.2,,7.7,,10.5,,7.5,,0,,6.6,,0,,6.6
03-01-24,2003,1,24,,10.6,,7.3,,9,,9,,0,,3.2,,0,,3.2
03-01-25,2003,1,25,,11.6,,8.4,,10,,8,,0,,6.5,,0,,6.5
03-01-26,2003,1,26,,13.7,,9.8,,11.8,,6.2,,0,,6.9,,0,,6.9
03-01-27,2003,1,27,,10.6,,4.5,,7.6,,10.4,,0,,0,,0,,0
03-01-28,2003,1,28,,10,,3.9,,7,,11,,0,,0,,0,,0
03-01-29,2003,1,29,,7.4,,4.3,,5.9,,12.1,,0,,14.4,,0,,14.4
03-01-30,2003,1,30,,9.8,,3.9,,6.9,,11.1,,0,,12.8,,0,,12.8
03-01-31,2003,1,31,,12.2,,7.3,,9.8,,8.2,,0,,0,,0,,0
03-02-01,2003,2,1,,9.3,,3.4,,6.4,,11.6,,0,,1.4,,0,,1.4
03-02-02,2003,2,2,,9.1,,3.8,,6.5,,11.5,,0,,0,T,0,,0
03-02-03,2003,2,3,,8.8,,2.8,,5.8,,12.2,,0,,0,,0,,0
03-02-04,2003,2,4,,7.3,,-1.9,,2.7,,15.3,,0,,0,,0,,0
03-02-05,2003,2,5,,6.8,,-1.6,,2.6,,15.4,,0,,0,,0,,0
03-02-06,2003,2,6,,6.4,,-0.9,,2.8,,15.2,,0,,0,,0,,0
03-02-07,2003,2,7,,4.4,,2.1,,3.3,,14.7,,0,,0,,0,,0
03-02-08,2003,2,8,,4.9,,2.2,,3.6,,14.4,,0,,0,,0,,0
03-02-09,2003,2,9,,4.2,,2.9,,3.6,,14.4,,0,,0.6,,0,,0.6
03-02-10,2003,2,10,,5.9,,-0.9,,2.5,,15.5,,0,,0,,0,,0
03-02-11,2003,2,11,,7,,-3.1,,2,,16,,0,,0,,0,,0
03-02-12,2003,2,12,,8.4,,-1.6,,3.4,,14.6,,0,,0,,0,,0
03-02-13,2003,2,13,,7.2,,-0.3,,3.5,,14.5,,0,,0,,0,,0
03-02-14,2003,2,14,,10.2,,4.8,,7.5,,10.5,,0,,0,,0,,0
03-02-15,2003,2,15,,10.4,,5.3,,7.9,,10.1,,0,,0.7,,0,,0.7
03-02-16,2003,2,16,,11,,6.2,,8.6,,9.4,,0,,5.6,,0,,5.6
