Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (C),Temp Flag,Dew Point Temp (C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 0:00,2019,10,1,0:00,7.9,,2.4,,68,,7,,12,,32.2,,102.08,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 1:00,2019,10,1,1:00,6.1,,2.3,,76,,9,,12,,32.2,,102.1,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 2:00,2019,10,1,2:00,5.8,,2.3,,78,,9,,8,,32.2,,102.12,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 3:00,2019,10,1,3:00,5.3,,2.4,,81,,11,,10,,32.2,,102.1,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 4:00,2019,10,1,4:00,6,,3.1,,81,,9,,13,,32.2,,102.12,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 5:00,2019,10,1,5:00,7,,3.3,,78,,8,,13,,32.2,,102.14,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 6:00,2019,10,1,6:00,6.3,,3.3,,81,,8,,10,,48.3,,102.15,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 7:00,2019,10,1,7:00,7.1,,4,,81,,9,,12,,48.3,,102.19,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 8:00,2019,10,1,8:00,8.8,,4.5,,75,,10,,12,,48.3,,102.21,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 9:00,2019,10,1,9:00,10.3,,4.7,,68,,10,,17,,48.3,,102.23,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 10:00,2019,10,1,10:00,11.1,,5.3,,67,,10,,12,,48.3,,102.23,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 11:00,2019,10,1,11:00,12,,5.6,,64,,11,,8,,48.3,,102.2,,,,,,NA
